2012-10-23 11:53:34,695 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:55:04,873 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5192610@4f3ba2 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:55:04,874 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:55:04,874 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 11:55:47,099 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 11:55:47,242 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-23 11:55:47,758 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-23 12:02:18,830 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5192610@4f3ba2 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 12:02:18,831 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-23 12:02:18,831 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-1
2012-10-26 13:19:30,036 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-26 13:19:30,117 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-26 13:19:30,600 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-26 13:31:59,976 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5036744@4cdac8 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
2012-10-26 13:31:59,976 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
2012-10-26 13:31:59,976 | INFO  | javax.el.BeanELResolver purged | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
2012-10-26 13:32:59,208 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-26 13:32:59,287 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-2
2012-10-26 13:32:59,772 | INFO  | Successfully connected to tcp://localhost:61616 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2012-10-26 13:34:01,101 | INFO  | Clazz: class net.blogracy.model.users.UserImpl loaded by WebAppClassLoader=5036744@4cdac8 | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
2012-10-26 13:34:01,102 | INFO  | removed | org.eclipse.jetty.servlet.listener.ELContextCleaner | Thread-0
